,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin
0,41301,Blade Runner 2049 ,2017-10-06,T,Sci Fi,45b03b4ab3e6e5781426f83613af0807,instagram,page,t,101,7769,['Sci Fi'],Sci Fi,2017,2
1,25859,Geostorm ,2017-10-20,T,"Action, Sci Fi",ea5eb96fa2d53c68a7fec4a76636c6ff,twitter,search_term,t,101,7769,"['Action', 'Sci Fi']",Action,2017,2
2,44895,Ready Player One ,2018-03-29,T,"Sci Fi, Action, Thriller",31e9bbe160e77e8558e35bb5c5bd7089,facebook,search_term,t,101,7769,"['Sci Fi', 'Action', 'Thriller']",Sci Fi,2018,3
3,10617,Fury ,2014-10-17,,"Action, Drama, War",6c7dc49a1cece02cc80d0826e6424df2,facebook,search_term,t,101,7769,"['Action', 'Drama', 'War']",Action,2014,1
4,10607,Nightcrawler ,2014-10-31,,"Crime, Thriller, Drama",aaec8ee14f2e372b8e35a72ee9613ca1,twitter,search_term,t,101,7769,"['Crime', 'Thriller', 'Drama']",Crime,2014,1
5,13370,Crimson Peak ,2015-10-16,CMCSA,Horror,7034ae8af3651572a1622a96f47334b4,twitter,search_term,t,101,7769,['Horror'],Horror,2015,1
6,13731,The Hunger Games: Mockingjay - Part 2 ,2015-11-20,LGF.A,"Adventure, Sci Fi, Action",02b7c6aa78a2cd57bd043918c5d5e8c2,twitter,search_term,t,101,7769,"['Adventure', 'Sci Fi', 'Action']",Adventure,2015,1
7,10681,Terminator Genisys ,2015-07-01,VIA,"Adventure, Action, Sci Fi",d2f99b8dac22b2e68723d8a66d422a2e,twitter,search_term,t,101,7769,"['Adventure', 'Action', 'Sci Fi']",Adventure,2015,1
8,10645,Fifty Shades of Grey ,2015-02-13,CMCSA,"Romance, Drama",d42138ae16d3c385c9dd963d5da3c006,facebook,search_term,t,101,7769,"['Romance', 'Drama']",Romance,2015,1
9,16912,The Huntsman: Winter's War ,2016-04-22,CMCSA,"Adventure, Action, Drama",cdec6aa592e773c0a06c1a18475c9137,twitter,handle,t,101,7769,"['Adventure', 'Action', 'Drama']",Adventure,2016,2
10,61030,Lone Survivor ,2013-12-25,,"Thriller, Drama, Action",05d39e206275e09dac2b0af56d621111,twitter,search_term,t,101,7769,"['Thriller', 'Drama', 'Action']",Thriller,2013,1
11,10579,The Expendables 3 ,2014-08-15,LGF.A,"Thriller, Action, Adventure",dfd89537d8007542bfccaffe80946a93,twitter,search_term,t,101,7769,"['Thriller', 'Action', 'Adventure']",Thriller,2014,1
12,120946,Tolkien ,2019-05-10,FOXA,"Biography, Drama",23541e1c4f911a14a52c907611a9aefd,twitter,search_term,t,101,7769,"['Biography', 'Drama']",Biography,2019,4
13,13731,The Hunger Games: Mockingjay - Part 2 ,2015-11-20,LGF.A,"Adventure, Sci Fi, Action",f09790d9877b86251b945c5bcbfc314a,facebook,search_term,t,101,7769,"['Adventure', 'Sci Fi', 'Action']",Adventure,2015,1
14,13748,Black or White ,2015-01-30,,Drama,637a263f4a4eca220157a3dd29109495,twitter,search_term,t,101,7769,['Drama'],Drama,2015,1
15,10652,Chappie ,2015-03-06,,"Action, Drama, Crime",26a04152a6a42d3a06867e8c0826bbce,facebook,search_term,t,101,7769,"['Action', 'Drama', 'Crime']",Action,2015,1
16,81770,Booksmart ,2019-05-24,,Comedy,19ff42efb3bd7a568c18b47925f33e38,twitter,search_term,t,101,7769,['Comedy'],Comedy,2019,4
17,59526,The Girl in the Spider's Web: A New Dragon Tattoo Story ,2018-11-09,,"Drama, Thriller, Crime",6c3db9d62d8b1adf32b40421c92ea7ba,twitter,search_term,t,101,7769,"['Drama', 'Thriller', 'Crime']",Drama,2018,3
18,18142,Finding Dory ,2016-06-17,DIS,"Adventure, Comedy, Animation, Family",8f7bb90e40b240552e1d3e8f97c77ba7,twitter,search_term,t,101,7769,"['Adventure', 'Comedy', 'Animation', 'Family']",Adventure,2016,2
