,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,cluster_id
0,41301,Blade Runner 2049,2017-10-06,T,Sci Fi,45b03b4ab3e6e5781426f83613af0807,instagram,page,t,101,7769,['Sci Fi'],Sci Fi,2017,7,185000000.0,Warner Bros.,R,Remake,Yes,92054159,Fantasy,1.7987742763744727,HighBudget,-0.2115003364978214,3,1,Top5,6
1,25859,Geostorm,2017-10-20,T,"Action, Sci Fi",ea5eb96fa2d53c68a7fec4a76636c6ff,twitter,search_term,t,101,7769,"['Action', 'Sci Fi']",Action,2017,7,100000000.0,Warner Bros.,PG-13,Original,No,33700160,Action,0.5318789080840712,HighBudget,-0.5123983290804682,3,1,Top5,9
2,44895,Ready Player One,2018-03-29,T,"Sci Fi, Action, Thriller",31e9bbe160e77e8558e35bb5c5bd7089,facebook,search_term,t,101,7769,"['Sci Fi', 'Action', 'Thriller']",Sci Fi,2018,8,150000000.0,Warner Bros.,PG-13,Not Original,No,137690172,Fantasy,1.2238047598149326,HighBudget,0.006889743267950526,3,1,Top5,0
3,10617,Fury,2014-10-17,,"Action, Drama, War",6c7dc49a1cece02cc80d0826e6424df2,facebook,search_term,t,101,7769,"['Action', 'Drama', 'War']",Action,2014,4,80000000.0,Sony Pictures,R,Original,No,85817906,Action,0.27601074345412124,HighBudget,-0.22798659850822267,1,193,Top100+,3
4,10607,Nightcrawler,2014-10-31,,"Crime, Thriller, Drama",aaec8ee14f2e372b8e35a72ee9613ca1,twitter,search_term,t,101,7769,"['Crime', 'Thriller', 'Drama']",Crime,2014,4,8500000.0,Open Road Films,R,Original,No,32381218,Thriller,-0.8274103024006662,MediumBudget,-0.5132864845585409,1,223,Top100+,3
5,13370,Crimson Peak,2015-10-16,CMCSA,Horror,7034ae8af3651572a1622a96f47334b4,twitter,search_term,t,101,7769,['Horror'],Horror,2015,5,55000000.0,Universal Pictures,R,Original,No,31090320,Horror,-0.11080650790712196,HighBudget,-0.5203753012900106,2,3,Top5,3
6,13731,The Hunger Games: Mockingjay - Part 2,2015-11-20,LGF.A,"Adventure, Sci Fi, Action",02b7c6aa78a2cd57bd043918c5d5e8c2,twitter,search_term,t,101,7769,"['Adventure', 'Sci Fi', 'Action']",Adventure,2015,5,160000000.0,Lionsgate,PG-13,Not Original,Yes,281723902,Adventure,1.5076820544372294,HighBudget,0.8161784853372732,2,19,Top100,7
7,10681,Terminator Genisys,2015-07-01,VIA,"Adventure, Action, Sci Fi",d2f99b8dac22b2e68723d8a66d422a2e,twitter,search_term,t,101,7769,"['Adventure', 'Action', 'Sci Fi']",Adventure,2015,5,155000000.0,Paramount Pictures,PG-13,Original,Yes,440600000,Adventure,1.430611170509265,HighBudget,1.6634171063562444,2,6,Top100,8
8,10645,Fifty Shades of Grey,2015-02-13,CMCSA,"Romance, Drama",d42138ae16d3c385c9dd963d5da3c006,facebook,search_term,t,101,7769,"['Romance', 'Drama']",Romance,2015,5,40000000.0,Universal Pictures,R,Not Original,Yes,166167230,Drama,-0.3420191596910155,MediumBudget,0.19994938190745287,2,3,Top5,1
9,16912,The Huntsman: Winter's War,2016-04-22,CMCSA,"Adventure, Action, Drama",cdec6aa592e773c0a06c1a18475c9137,twitter,handle,t,101,7769,"['Adventure', 'Action', 'Drama']",Adventure,2016,6,115000000.0,Universal Pictures,PG-13,Not Original,Yes,165000000,Adventure,0.7919595080590203,HighBudget,0.18276257824490308,2,3,Top5,7
